work,book,prefix,file_name,relative_path,title,booknum_html,delay_html,n_speeds,n_lines_found
odyssey,1,od,od_1.html,odyssey/od_1.html,Iliad Book 1,1,,611,574
odyssey,2,od,od_2.html,odyssey/od_2.html,Iliad Book 1,1,,611,433
odyssey,3,od,od_3.html,odyssey/od_3.html,Iliad Book 1,1,,611,497
odyssey,4,od,od_4.html,odyssey/od_4.html,Iliad Book 1,1,,611,847
odyssey,5,od,od_5.html,odyssey/od_5.html,Iliad Book 1,1,,611,493
odyssey,6,od,od_6.html,odyssey/od_6.html,Iliad Book 1,1,,611,566
odyssey,7,od,od_7.html,odyssey/od_7.html,Iliad Book 1,1,,611,347
odyssey,8,od,od_8.html,odyssey/od_8.html,Iliad Book 1,1,,611,586
odyssey,9,od,od_9.html,odyssey/od_9.html,Iliad Book 1,1,,611,566
odyssey,10,od,od_10.html,odyssey/od_10.html,Iliad Book 1,1,,611,574
odyssey,11,od,od_11.html,odyssey/od_11.html,Iliad Book 1,1,,611,640
odyssey,12,od,od_12.html,odyssey/od_12.html,Iliad Book 1,1,,611,453
odyssey,13,od,od_13.html,odyssey/od_13.html,Iliad Book 1,1,,611,440
odyssey,14,od,od_14.html,odyssey/od_14.html,Iliad Book 1,1,,611,533
odyssey,15,od,od_15.html,odyssey/od_15.html,Iliad Book 1,1,,611,557
odyssey,16,od,od_16.html,odyssey/od_16.html,Iliad Book 1,1,,611,481
odyssey,17,od,od_17.html,odyssey/od_17.html,Iliad Book 1,1,,611,606
odyssey,18,od,od_18.html,odyssey/od_18.html,Iliad Book 1,1,,611,428
odyssey,19,od,od_19.html,odyssey/od_19.html,Iliad Book 1,1,,611,604
odyssey,20,od,od_20.html,odyssey/od_20.html,Iliad Book 1,1,,611,394
odyssey,21,od,od_21.html,odyssey/od_21.html,Iliad Book 1,1,,611,434
odyssey,22,od,od_22.html,odyssey/od_22.html,Iliad Book 1,1,,611,501
odyssey,23,od,od_23.html,odyssey/od_23.html,Iliad Book 1,1,,611,372
odyssey,24,od,od_24.html,odyssey/od_24.html,Iliad Book 1,1,,611,548
